大创,,,,,,,,,,,,
项目编号,项目名称,项目类型,所属学校,项目期限,所属一级学科,所属二级学科,项目级别,,,,
202210289191P,发酵蛋白桑饲料研发及产业化,创业实践项目,江苏科技大学,一年期 （2022-06 至 2023-06）,农学,植物生产类,省级
202210289012Z,发起人特质与行为及其对众筹绩效影响的研究,创新训练项目,江苏科技大学,一年期 （2022-06 至 2023-06）,管理学,管理科学与工程类,国家级
202210289088Y,仿螃蟹步态机器人,创新训练项目,江苏科技大学,一年期 （2022-06 至 2023-06）,工学,机械类,省级
202210289089Y,仿生荷叶结构新型太阳能自清洁光伏板,创新训练项目,江苏科技大学,一年期 （2022-06 至 2023-06）,工学,能源动力类,省级
202210289155H,非遗传统手工艺——秦淮花灯的现代创新设计,创新训练项目,江苏科技大学,一年期 （2022-06 至 2023-06）,艺术学,设计学类,省级(校企)
202210289090Y,风帆助推三体船及编队航行策略研究,创新训练项目,江苏科技大学,一年期 （2022-06 至 2023-06）,工学,海洋工程类,省级
202210289187K,封闭式管理背景下高校自媒体智能平台的研发及运维体系框架构建,创业实践项目,江苏科技大学,一年期 （2022-06 至 2023-06）,工学,计算机类,国家级
202210289091Y,副文本视野下赛译《水浒传》的译者主体性解读,创新训练项目,江苏科技大学,一年期 （2022-06 至 2023-06）,文学,外国语言文学类,省级
202210289092Y,高灵敏性宫颈癌miR-21-5p光纤LSPR生物传感器的制备方法,创新训练项目,江苏科技大学,一年期 （2022-06 至 2023-06）,工学,生物医学工程类,省级
202210289156H,高透明兼高机械强度丝胶蛋白水凝胶的研制,创新训练项目,江苏科技大学,一年期 （2022-06 至 2023-06）,工学,生物医学工程类,省级(校企)
202210289093Y,高温木聚糖酶催化效率改良及其降解桑枝产糖研究,创新训练项目,江苏科技大学,一年期 （2022-06 至 2023-06）,工学,生物工程类,省级
202210289013Z,高校创新创业教育与专业教育融合路径研究,创新训练项目,江苏科技大学,一年期 （2022-06 至 2023-06）,管理学,管理科学与工程类,国家级
202210289014Z,工科女大学生择业偏好及应对策略研究,创新训练项目,江苏科技大学,一年期 （2022-06 至 2023-06）,教育学,教育学类,国家级
202210289180T,光伏无人智能水产养殖系统,创业训练项目,江苏科技大学,一年期 （2022-06 至 2023-06）,工学,电气类,省级
202210289094Y,光学微结构优化柔性OLEDs光提取效率的机制研究,创新训练项目,江苏科技大学,一年期 （2022-06 至 2023-06）,理学,物理学类,省级
202210289015Z,海表监测节点能量收集装置设计,创新训练项目,江苏科技大学,一年期 （2022-06 至 2023-06）,工学,机械类,国家级
202210289016Z,海上风机-柴油机复合供电系统,创新训练项目,江苏科技大学,一年期 （2022-06 至 2023-06）,工学,能源动力类,国家级
202210289017Z,海藻糖酶抑制剂对家蚕微孢子虫糖代谢的调控研究,创新训练项目,江苏科技大学,一年期 （2022-06 至 2023-06）,农学,动物生产类,国家级
202210289018Z,含Bi低银无铅焊点热疲劳条件下的组织及性能研究,创新训练项目,江苏科技大学,一年期 （2022-06 至 2023-06）,工学,材料类,国家级
202210289019Z,汉韵·云学,创新训练项目,江苏科技大学,一年期 （2022-06 至 2023-06）,工学,计算机类,国家级
202210289095Y,后疫情时代大学生心理健康问题及应对策略,创新训练项目,江苏科技大学,一年期 （2022-06 至 2023-06）,法学,社会学类,省级
202210289157H,机场跑道异物检测机器人应用系统,创新训练项目,江苏科技大学,一年期 （2022-06 至 2023-06）,工学,计算机类,省级(校企)
202210289096Y,基于3D打印技术的高仿真民船模型制作,创新训练项目,江苏科技大学,一年期 （2022-06 至 2023-06）,工学,海洋工程类,省级
202210289181T,基于IDC架构的无人机自主飞行解决方案的研究与商业应用,创业训练项目,江苏科技大学,一年期 （2022-06 至 2023-06）,工学,航空航天类,省级
202210289097Y,基于JESTONNANO的海洋信息获取与处理平台设计,创新训练项目,江苏科技大学,一年期 （2022-06 至 2023-06）,工学,电子信息类,省级
202210289098Y,基于jetson nano的智能取件小车,创新训练项目,江苏科技大学,一年期 （2022-06 至 2023-06）,工学,计算机类,省级
202210289099Y,基于loop区结构优化改良木聚糖酶CcXyl10B催化效率研究,创新训练项目,江苏科技大学,一年期 （2022-06 至 2023-06）,工学,生物工程类,省级
202210289020Z,基于RNA病毒医学检测的双技术生物芯片有限元设计,创新训练项目,江苏科技大学,一年期 （2022-06 至 2023-06）,工学,电子信息类,国家级
202210289021Z,基于Transformer-XL的代码补全方法研究,创新训练项目,江苏科技大学,一年期 （2022-06 至 2023-06）,工学,计算机类,国家级
